# module = se_top
# base_addr = 0x0000
# addr_width = 32
# data_width = 32
# addr_stride = 0x4
Offset Address	Register Name	Field Name	End Bit	Begin Bit	Width	Attribute	Description
		pc_unaligned	3	3	1	W1C	PC 非 32-bit 对齐
		fifo_overflow	4	4	1	W1C	指令 FIFO 溢出
		fifo_underflow	5	5	1	W1C	指令 FIFO 下溢
		lsu_error	6	6	1	W1C	LSU 协议或返回错误
		reserved	31	7	25	RO	保留，读 0
	SE_ERR_PC	err_pc	31	0	32	RO	错误发生时的 PC
	SE_ERR_INST	err_inst	31	0	32	RO	错误发生时的指令
	SE_ERR_INFO	engine	2	0	3	RO	错误相关 engine id
		desc_idx	8	3	6	RO	错误相关 descriptor flat index
		rd	13	9	5	RO	错误相关 rd
		rs1	18	14	5	RO	错误相关 rs1
		rs2	23	19	5	RO	错误相关 rs2
		reserved	31	24	8	RO	保留，读 0
	SE_ERR_CLEAR	clear_mask	31	0	32	WO	写 1 清除 SE_ERR_STATUS 对应错误位
	SE_CYCLE_CNT_L	cycle_cnt_l	31	0	32	RO	运行周期计数低 32 位
	SE_CYCLE_CNT_H	cycle_cnt_h	31	0	32	RO	运行周期计数高 32 位
	SE_INST_CNT_L	inst_cnt_l	31	0	32	RO	decode accept 指令计数低 32 位
	SE_INST_CNT_H	inst_cnt_h	31	0	32	RO	decode accept 指令计数高 32 位
	SE_FETCH_REQ_CNT	fetch_req_cnt	31	0	32	RO	取指请求次数
	SE_FETCH_STALL_CNT	fetch_stall_cnt	31	0	32	RO	取指停顿周期数
	SE_DECODE_HOLD_CNT	decode_hold_cnt	31	0	32	RO	decode hold 周期数
	SE_ISSUE_CNT_VEC	issue_cnt_vec	31	0	32	RO	Vector 发射次数
	SE_ISSUE_CNT_TENSOR	issue_cnt_tensor	31	0	32	RO	Tensor 发射次数
	SE_ISSUE_CNT_TMA	issue_cnt_tma	31	0	32	RO	TMA 发射次数
	SE_ISSUE_CNT_CV	issue_cnt_cv	31	0	32	RO	CV 发射次数
	SE_LSU_REQ_CNT	lsu_req_cnt	31	0	32	RO	Dcache load 请求次数
	SE_LAST_INST	last_inst	31	0	32	RO	最近进入 execute 的指令
	SE_LAST_DESC_IDX	last_desc_idx	5	0	6	RO	最近访问的 Config_Reg flat index
		reserved	31	6	26	RO	保留，读 0
	SE_LAST_ISSUE_INFO	engine	2	0	3	RO	最近发射 engine id
		issue_valid	3	3	1	RO	最近 issue valid
		issue_ready	4	4	1	RO	最近 issue ready
		reserved	31	5	27	RO	保留，读 0
	SE_FIFO_LEVEL	fifo_level	7	0	8	RO	指令 FIFO 当前水位
		reserved	31	8	24	RO	保留，读 0
	SE_DESC_DBG_ADDR	desc_dbg_idx	5	0	6	RW	描述符调试 flat index
		reserved	31	6	26	RO	保留，读 0
	SE_DESC_DBG_DATA0	desc_dbg_data_31_0	31	0	32	RO	描述符调试数据 [31:0]
	SE_DESC_DBG_DATA1	desc_dbg_data_63_32	31	0	32	RO	描述符调试数据 [63:32]
	SE_DESC_DBG_DATA2	desc_dbg_data_95_64	31	0	32	RO	描述符调试数据 [95:64]
	SE_DESC_DBG_DATA3	desc_dbg_data_127_96	31	0	32	RO	描述符调试数据 [127:96]
	SE_DESC_DBG_DATA4	desc_dbg_data_159_128	31	0	32	RO	描述符调试数据 [159:128]
	SE_DESC_DBG_DATA5	desc_dbg_data_191_160	31	0	32	RO	描述符调试数据 [191:160]
	SE_DESC_DBG_DATA6	desc_dbg_data_223_192	31	0	32	RO	描述符调试数据 [223:192]
	SE_DESC_DBG_DATA7	desc_dbg_data_255_224	31	0	32	RO	描述符调试数据 [255:224]
